codregion,cod_comuna,Region,Comuna,Total,Validos,Apruebo,Rechazo,Nulo,Blanco,Validos_per,Apruebo_per,Rechazo_per,Nulo_per,Blanco_per,Electores,Participacion,Participacion_per,Comuna_Servel
13,13601,Metropolitana,Talagante,34535,34363,27786,6577,114,58,0.995019545388736,80.86022757035182,19.13977242964817,0.3300998986535399,0.16794556247285364,57618,34535,0.5993786663889756,TALAGANTE
13,13505,Metropolitana,San Pedro,3029,3003,2374,629,16,10,0.9914163090128756,79.05427905427905,20.945720945720947,0.5282271376691978,0.3301419610432486,8246,3029,0.36732961435847683,SAN PEDRO
13,13504,Metropolitana,María Pinto,5473,5446,4424,1022,15,12,0.9950666910286863,81.23393316195373,18.76606683804627,0.2740727206285401,0.21925817650283208,11262,5473,0.4859705203338661,MARIA PINTO
13,13503,Metropolitana,Curacaví,14788,14682,11713,2969,78,28,0.9928320259670003,79.77795940607547,20.222040593924532,0.5274546929943197,0.18934271030565322,25834,14788,0.5724239374467756,CURACAVI
13,13502,Metropolitana,Alhué,2640,2632,2323,309,7,1,0.996969696969697,88.25987841945289,11.740121580547113,0.2651515151515152,0.03787878787878788,6004,2640,0.4397068620919387,ALHUE
13,13501,Metropolitana,Melipilla,43131,42686,34741,7945,157,288,0.9896825948853493,81.38734011151197,18.61265988848803,0.3640073265168904,0.6677331849481811,96589,43131,0.44654153164439014,MELIPILLA
13,13404,Metropolitana,Paine,27952,27771,22495,5276,119,62,0.9935246136233543,81.00176443052105,18.998235569478954,0.42572982255294795,0.2218088151116199,52520,27952,0.5322162985529322,PAINE
13,13403,Metropolitana,Calera de Tango,12750,12692,9352,3340,41,17,0.9954509803921568,73.68421052631578,26.31578947368421,0.3215686274509804,0.13333333333333333,22016,12750,0.579124273255814,CALERA DE TANGO
13,13402,Metropolitana,Buin,40587,40404,33238,7166,124,59,0.9954911671224776,82.26413226413226,17.735867735867735,0.3055165447064331,0.14536674304580285,73511,40587,0.5521214512113833,BUIN
13,13401,Metropolitana,San Bernardo,119860,119219,101605,17614,469,172,0.9946520941097947,85.22550935673006,14.77449064326995,0.3912898381445019,0.14350075087602202,228270,119860,0.5250799491829851,SAN BERNARDO
13,13303,Metropolitana,Tiltil,8051,8001,6788,1213,37,13,0.9937895913551111,84.83939507561556,15.160604924384453,0.4595702397217737,0.1614706247671097,14369,8051,0.5603034309972859,TILTIL
13,13302,Metropolitana,Lampa,31385,31238,25869,5369,94,53,0.9953162338696829,82.81260003841476,17.18739996158525,0.2995061335032659,0.16887047952843715,57086,31385,0.5497845356129348,LAMPA
13,13301,Metropolitana,Colina,49449,49146,32524,16622,204,99,0.993872474670873,66.17832580474504,33.82167419525495,0.41254625978280657,0.2002062731298914,87987,49449,0.5620034777864912,COLINA
13,13203,Metropolitana,San José de Maipo,8928,8879,7506,1373,27,22,0.9945116487455197,84.53654690843564,15.463453091564366,0.3024193548387097,0.246415770609319,15619,8928,0.5716114988155452,SAN JOSE DE MAIPO
13,13202,Metropolitana,Pirque,13102,13049,10055,2994,35,18,0.995954816058617,77.05571308146219,22.944286918537816,0.26713478858189593,0.1373836055564036,21736,13102,0.6027788001472212,PIRQUE
